#F Compounds.dat
#C  This file has been created using Compounds.pro on Fri Oct 11 16:35:53 1996
#D  Mon Sep 17 14:57:16 CEST 2001
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#U3W Sheet_Stand
#UT Compounds and Mixtures (formulae, density and composition)
#UD Compounds and Mixtures (formulae, density and composition)
#UD 
#UD This file contains composition and densities of the most usual 
#UD materials. Data comes from:
#UD 1) LBL (from B4C to Zerodur, in scanning order) Ref:
#UD    http://www-cxro.lbl.gov:80/optical_constants/asf.html
#UD 2) XOP 1.3.4 (from water to polystyrene, in scanning order) Ref: 
#UD    Roger Dejus (dejus@aps.anl.gov)
#UD 3) NIST (from A-150 TISSUE-EQUIVALENT PLASTIC to WATER, LIQUID) Ref:
#UD    http://physics.nist.gov/PhysRefData/XrayMassCoef/cover.html
#UD 
#UD The mixture formula syntaxis consits in a string with the chemical
#UD formula of the compounds with their weight fraction between parenthesis.
#UD Example: SiO2(0.807)B2O3(0.129)Na2O(0.038)Al2O3(0.022)K2O(0.004)
#UD 
#UD The formula is available at the #UFOR keyword. The compound name is
#UD available at the data title (#S)  and the compound density in g/cc is
#UD stored at the #URHO keyword. Data is arranged in a number of lines
#UD equal to the number of elements in the mixtute sorted by Z. The column
#UD description is: 1:Z   and  2:WeightFraction.
#UD The scan number corresponds to the highest Z in the compound.
#UD 
#S 6  B4C
#UFOR B4C
#URHO 2.52
#N  2
#L  Z  WeightFraction
5    0.78262601
6    0.21737399
#S 8  BeO
#UFOR BeO
#URHO 3.01
#N  2
#L  Z  WeightFraction
4    0.36032035
8    0.63967965
#S 7  BN
#UFOR BN
#URHO 2.25
#N  2
#L  Z  WeightFraction
5    0.43561581
7    0.56438419
#S 24  Cr2O3
#UFOR Cr2O3
#URHO 5.21
#N  2
#L  Z  WeightFraction
8    0.31579758
24    0.68420242
#S 55  CsI
#UFOR CsI
#URHO 4.51
#N  2
#L  Z  WeightFraction
53    0.48845125
55    0.51154875
#S 33  GaAs
#UFOR GaAs
#URHO 5.32
#N  2
#L  Z  WeightFraction
31    0.48202978
33    0.51797022
#S 9  LiF
#UFOR LiF
#URHO 2.635
#N  2
#L  Z  WeightFraction
3    0.26758518
9    0.73241482
#S 12  MgO
#UFOR MgO
#URHO 3.58
#N  2
#L  Z  WeightFraction
8    0.39696410
12    0.60303590
#S 42  MoSi2
#UFOR MoSi2
#URHO 6.31
#N  2
#L  Z  WeightFraction
14    0.36927638
42    0.63072362
#S 22  TiN
#UFOR TiN
#URHO 5.22
#N  2
#L  Z  WeightFraction
7    0.22632861
22    0.77367139
#S 13  Sapphire
#UFOR Al2O3
#URHO 3.97
#N  2
#L  Z  WeightFraction
8    0.47074930
13    0.52925070
#S 8  Polyimide
#UFOR C22H10N2O5
#URHO 1.43
#N  2
#L  Z  WeightFraction
1    0.026362960
6    0.69113253
7    0.073270061
8    0.20923445
#S 6  Polypropylene
#UFOR C3H6
#URHO 0.90
#N  2
#L  Z  WeightFraction
1    0.14371549
6    0.85628451
#S 8  PMMA
#UFOR C5H8O2
#URHO 1.19
#N  2
#L  Z  WeightFraction
1    0.080540710
6    0.59984626
8    0.31961303
#S 8  Polycarbonate
#UFOR C16H14O3
#URHO 1.2
#N  2
#L  Z  WeightFraction
1    0.055493403
6    0.75574937
8    0.18875723
#S 8  Kimfol
#UFOR C16H14O3
#URHO 1.2
#N  2
#L  Z  WeightFraction
1    0.055493403
6    0.75574937
8    0.18875723
#S 8  Mylar
#UFOR C10H8O4
#URHO 1.4
#N  2
#L  Z  WeightFraction
1    0.041960103
6    0.62501587
8    0.33302403
#S 9  Teflon
#UFOR C2F4
#URHO 2.2
#N  2
#L  Z  WeightFraction
6    0.24018250
9    0.75981750
#S 17  Parylene-C
#UFOR C8H7Cl
#URHO 1.29
#N  2
#L  Z  WeightFraction
1    0.050907427
6    0.69329422
17    0.25579835
#S 6  Parylene-N
#UFOR C8H8
#URHO 1.11
#N  2
#L  Z  WeightFraction
1    0.077421050
6    0.92257895
#S 20  Fluorite
#UFOR CaF2
#URHO 3.18
#N  2
#L  Z  WeightFraction
9    0.48667180
20    0.51332820
#S 17  Salt
#UFOR NaCl
#URHO 2.165
#N  2
#L  Z  WeightFraction
11    0.39337435
17    0.60662565
#S 28  NiO
#UFOR NiO
#URHO 6.67
#N  2
#L  Z  WeightFraction
8    0.21421246
28    0.78578754
#S 14  SiC
#UFOR SiC
#URHO 3.217
